#{"source_key": "UNHCR", "source_url": "http://www.unhcr.org/cgi-bin/texis/vtx/home/opendocAttachment.zip?COMID=58aa8f854", "source_date": 2017-02-01, "extract_date": 2017-04-04}
UN major regions,UNHCR-Bureaux,Country/territory of asylum/residence,Type of population,Population Start 2016,of whom assisted by UNHCR Start 2016,Population Mid 2016,of whom assisted by UNHCR Mid 2016,Notes,Misc
Asia,Europe,Georgia,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Europe,Georgia,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations","   268,416 ","   268,416 ","   270,855 ","   270,855 ",,
Asia,Europe,Georgia,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Europe,Georgia,Persons under UNHCR's statelessness mandate,  627 ,   627 ,   602 ,   602 ,,
Asia,Europe,Georgia,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Europe,Georgia,Total population of concern,"   271,755 ","   271,680 ","   274,149 ","   274,076 ",,
Asia,Europe,Turkey,Total Refugee and people in refugee-like situations,"  2,541,352 ","   2,499,593 ","   2,773,827 ","   2,773,827 ",ab,
Asia,Europe,Turkey,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Europe,Turkey,Asylum-seekers,"   212,408 ","   212,408 ","   231,694 ","   231,689 ",,
Asia,Europe,Turkey,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Europe,Turkey,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Europe,Turkey,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Europe,Turkey,Persons under UNHCR's statelessness mandate,   780 ,   -00 ,   780 ,   780 ,,
Asia,Europe,Turkey,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Europe,Turkey,Total population of concern,"  2,754,540 ","   2,712,001 ","   3,006,301 ","   3,006,296 ",,
Europe,Europe,Albania,Total Refugee and people in refugee-like situations,  104 ,   104 ,   110 ,   110 ,,
Europe,Europe,Albania,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Albania,Asylum-seekers,   830 ,   830 ,"  1,277 ","   1,277 ",,
Europe,Europe,Albania,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Albania,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Albania,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Albania,Persons under UNHCR's statelessness mandate,"   7,442 ",  -00 ,"  7,439 ",  3 ,,
Europe,Europe,Albania,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Albania,Total population of concern,"   8,376 ",  934 ,"  8,826 ","   1,390 ",,
Europe,Europe,Austria,Total Refugee and people in refugee-like situations,"   72,216 ",   -00 ,"  82,217 ",   -00 ,,
Europe,Europe,Austria,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Austria,Asylum-seekers,"  79,723 ",   -00 ,"  83,229 ",   -00 ,,
Europe,Europe,Austria,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Austria,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Austria,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Austria,Persons under UNHCR's statelessness mandate,  828 ,   -00 ,   929 ,   -00 ,,
Europe,Europe,Austria,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Austria,Total population of concern,"   152,767 ",  -00 ,"  166,375 ",  -00 ,,
Europe,Europe,Belarus,Total Refugee and people in refugee-like situations,"   1,809 ",  751 ,"  2,136 ",  870 ,,
Europe,Europe,Belarus,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Belarus,Asylum-seekers,   279 ,   137 ,   136 ,   68 ,,
Europe,Europe,Belarus,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Belarus,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Belarus,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Belarus,Persons under UNHCR's statelessness mandate,"   5,635 ",  -00 ,"  5,635 ",  -00 ,,
Europe,Europe,Belarus,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Belarus,Total population of concern,"   7,723 ",  888 ,"  7,907 ",  938 ,,
Europe,Europe,Belgium,Total Refugee and people in refugee-like situations,"   30,761 ",   -00 ,"  33,624 ",   -00 ,,
Europe,Europe,Belgium,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Belgium,Asylum-seekers,"  35,979 ",   -00 ,"  28,156 ",   -00 ,,
Europe,Europe,Belgium,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Belgium,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Belgium,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Belgium,Persons under UNHCR's statelessness mandate,"   5,776 ",  -00 ,"  2,027 ",  -00 ,,
Europe,Europe,Belgium,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Belgium,Total population of concern,"   72,516 ",   -00 ,"  63,807 ",   -00 ,,
Europe,Europe,Bosnia and Herzegovina,Total Refugee and people in refugee-like situations,"  6,798 ","   6,798 ","   6,782 ","   6,782 ",,
Europe,Europe,Bosnia and Herzegovina,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Bosnia and Herzegovina,Asylum-seekers,  24 ,  23 ,  12 ,  12 ,,
Europe,Europe,Bosnia and Herzegovina,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Bosnia and Herzegovina,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations","  98,324 ","  98,324 ","  98,324 ","  98,324 ",,
Europe,Europe,Bosnia and Herzegovina,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Bosnia and Herzegovina,Persons under UNHCR's statelessness mandate,   58 ,  58 ,  63 ,  63 ,,
Europe,Europe,Bosnia and Herzegovina,Others of concern to UNHCR,"   52,437 ","  52,437 ","  52,437 ","  52,437 ",,
Europe,Europe,Bosnia and Herzegovina,Total population of concern,"  157,641 ","   157,640 ","   157,618 ","   157,618 ",,
Europe,Europe,Bulgaria,Total Refugee and people in refugee-like situations,"  16,557 ","  16,557 ","  17,008 ","  17,008 ",,
Europe,Europe,Bulgaria,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Bulgaria,Asylum-seekers,"   9,499 ","   9,499 ","   16,647 ","  16,647 ",,
Europe,Europe,Bulgaria,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Bulgaria,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Bulgaria,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Bulgaria,Persons under UNHCR's statelessness mandate,   67 ,  67 ,  67 ,  67 ,,
Europe,Europe,Bulgaria,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Bulgaria,Total population of concern,"  26,123 ","  26,123 ","  33,722 ","  33,722 ",,
Europe,Europe,Croatia,Total Refugee and people in refugee-like situations,  522 ,   522 ,   442 ,   442 ,,
Europe,Europe,Croatia,People in refugee-like situations,  214 ,   214 ,   214 ,   214 ,,
Europe,Europe,Croatia,Asylum-seekers,   53 ,  53 ,  257 ,   257 ,,
Europe,Europe,Croatia,Returned refugees,  -00 ,   -00 ,   24 ,  24 ,,
Europe,Europe,Croatia,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Croatia,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Croatia,Persons under UNHCR's statelessness mandate,"   2,873 ",  176 ,"  2,873 ",  176 ,,
Europe,Europe,Croatia,Others of concern to UNHCR,"  14,070 ","  14,070 ","  11,855 ","  6,043 ",,
Europe,Europe,Croatia,Total population of concern,"   17,518 ","  14,821 ","  15,451 ","  6,942 ",,
Europe,Europe,Czech Rep.,Total Refugee and people in refugee-like situations,"  3,644 ",  -00 ,"  3,947 ",  -00 ,,
Europe,Europe,Czech Rep.,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Czech Rep.,Asylum-seekers,  659 ,   -00 ,   582 ,   -00 ,,
Europe,Europe,Czech Rep.,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Czech Rep.,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Czech Rep.,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Czech Rep.,Persons under UNHCR's statelessness mandate,"  1,502 ",  -00 ,"  1,502 ",  -00 ,,
Europe,Europe,Czech Rep.,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Czech Rep.,Total population of concern,"  5,805 ",  -00 ,"  6,031 ",  -00 ,,
Europe,Europe,Denmark,Total Refugee and people in refugee-like situations,"   27,326 ",   -00 ,"  30,699 ",   -00 ,,
Europe,Europe,Denmark,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Denmark,Asylum-seekers,"  14,934 ",   -00 ,"  10,941 ",   -00 ,,
Europe,Europe,Denmark,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Denmark,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Denmark,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Denmark,Persons under UNHCR's statelessness mandate,"   6,580 ",  -00 ,"  6,580 ",  -00 ,,
Europe,Europe,Denmark,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Denmark,Total population of concern,"   48,840 ",   -00 ,"  48,220 ",   -00 ,,
Europe,Europe,Estonia,Total Refugee and people in refugee-like situations,  168 ,   -00 ,   226 ,   -00 ,,
Europe,Europe,Estonia,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Estonia,Asylum-seekers,   86 ,  -00 ,   59 ,  -00 ,,
Europe,Europe,Estonia,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Estonia,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Estonia,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Estonia,Persons under UNHCR's statelessness mandate,"   85,301 ",   -00 ,"  83,918 ",   -00 ,k,
Europe,Europe,Estonia,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Estonia,Total population of concern,"   85,555 ",   -00 ,"  84,203 ",   -00 ,,
Europe,Europe,Finland,Total Refugee and people in refugee-like situations,"   12,703 ",   -00 ,"  15,059 ",   -00 ,,
Europe,Europe,Finland,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Finland,Asylum-seekers,"  24,366 ",   -00 ,"  15,074 ",   -00 ,,
Europe,Europe,Finland,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Finland,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Finland,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Finland,Persons under UNHCR's statelessness mandate,"   2,427 ",  -00 ,"  2,427 ",  -00 ,,
Europe,Europe,Finland,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Finland,Total population of concern,"   39,496 ",   -00 ,"  32,560 ",   -00 ,,
Europe,Europe,France,Total Refugee and people in refugee-like situations,"  273,126 ",  -00 ,"  290,178 ",  -00 ,,
Europe,Europe,France,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,France,Asylum-seekers,"   63,057 ",   -00 ,"  64,702 ",   -00 ,,
Europe,Europe,France,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,France,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,France,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,France,Persons under UNHCR's statelessness mandate,"  1,326 ",  -00 ,"  1,334 ",  -00 ,,
Europe,Europe,France,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,France,Total population of concern,"  337,509 ",  -00 ,"  356,214 ",  -00 ,,
Europe,Europe,Germany,Total Refugee and people in refugee-like situations,"   316,115 ",  -00 ,"  478,581 ",  -00 ,,
Europe,Europe,Germany,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Germany,Asylum-seekers,"  420,625 ",  -00 ,"  561,159 ",  -00 ,,
Europe,Europe,Germany,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Germany,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Germany,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Germany,Persons under UNHCR's statelessness mandate,"   12,569 ",   -00 ,"  12,387 ",   -00 ,,
Europe,Europe,Germany,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Germany,Total population of concern,"   749,309 ",  -00 ,"  1,052,127 ",  -00 ,,
Europe,Europe,Greece,Total Refugee and people in refugee-like situations,"  24,838 ",   -00 ,"  66,852 ",   -00 ,,
Europe,Europe,Greece,People in refugee-like situations,"  11,750 ",   -00 ,"  49,433 ",   -00 ,,
Europe,Europe,Greece,Asylum-seekers,"   26,141 ",   -00 ,"  27,778 ",   -00 ,,
Europe,Europe,Greece,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Greece,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Greece,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Greece,Persons under UNHCR's statelessness mandate,   198 ,   -00 ,   45 ,  -00 ,,
Europe,Europe,Greece,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Greece,Total population of concern,"  51,177 ",   -00 ,"  94,675 ",   -00 ,,
Europe,Europe,Hungary,Total Refugee and people in refugee-like situations,"   4,393 ",  258 ,"  4,649 ","   2,945 ",,
Europe,Europe,Hungary,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Hungary,Asylum-seekers,"  36,694 ",   -00 ,"  9,665 ","   2,302 ",,
Europe,Europe,Hungary,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Hungary,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Hungary,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Hungary,Persons under UNHCR's statelessness mandate,  132 ,   -00 ,   134 ,   -00 ,,
Europe,Europe,Hungary,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Hungary,Total population of concern,"   41,219 ",   258 ,"  14,448 ","  5,247 ",,
Europe,Europe,Iceland,Total Refugee and people in refugee-like situations,  179 ,   -00 ,   231 ,   -00 ,,
Europe,Europe,Iceland,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Iceland,Asylum-seekers,   161 ,   -00 ,   126 ,   -00 ,,
Europe,Europe,Iceland,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Iceland,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Iceland,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Iceland,Persons under UNHCR's statelessness mandate,  131 ,   -00 ,   131 ,   -00 ,,
Europe,Europe,Iceland,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Iceland,Total population of concern,  471 ,   -00 ,   488 ,   -00 ,,
Europe,Europe,Ireland,Total Refugee and people in refugee-like situations,"   6,125 ",  -00 ,"  6,125 ",  -00 ,,
Europe,Europe,Ireland,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Ireland,Asylum-seekers,"  5,087 ",  -00 ,"  4,267 ",  -00 ,,
Europe,Europe,Ireland,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Ireland,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Ireland,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Ireland,Persons under UNHCR's statelessness mandate,  99 ,  -00 ,   100 ,   -00 ,,
Europe,Europe,Ireland,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Ireland,Total population of concern,"   11,311 ",   -00 ,"  10,492 ",   -00 ,o,
Europe,Europe,Italy,Total Refugee and people in refugee-like situations,"   118,047 ",  -00 ,"  131,993 ",  -00 ,,
Europe,Europe,Italy,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Italy,Asylum-seekers,"  59,146 ",   -00 ,"  84,034 ",   -00 ,,
Europe,Europe,Italy,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Italy,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Italy,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Italy,Persons under UNHCR's statelessness mandate,  747 ,   -00 ,   701 ,   -00 ,,
Europe,Europe,Italy,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Italy,Total population of concern,"   177,940 ",  -00 ,"  216,728 ",  -00 ,,
Europe,Europe,Latvia,Total Refugee and people in refugee-like situations,   208 ,   -00 ,   253 ,   -00 ,,
Europe,Europe,Latvia,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Latvia,Asylum-seekers,  179 ,   -00 ,   143 ,   -00 ,,
Europe,Europe,Latvia,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Latvia,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Latvia,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Latvia,Persons under UNHCR's statelessness mandate,"  252,195 ",  -00 ,"  252,195 ",  -00 ,r,
Europe,Europe,Latvia,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Latvia,Total population of concern,"  252,582 ",  -00 ,"  252,591 ",  -00 ,,
Europe,Europe,Liechtenstein,Total Refugee and people in refugee-like situations,  150 ,   23 ,  154 ,   -00 ,,
Europe,Europe,Liechtenstein,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Liechtenstein,Asylum-seekers,   97 ,  -00 ,   100 ,   -00 ,,
Europe,Europe,Liechtenstein,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Liechtenstein,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Liechtenstein,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Liechtenstein,Persons under UNHCR's statelessness mandate,  2 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Liechtenstein,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Liechtenstein,Total population of concern,  249 ,   23 ,  254 ,   -00 ,,
Europe,Europe,Lithuania,Total Refugee and people in refugee-like situations,"   1,093 ",  -00 ,"  1,121 ",  -00 ,,
Europe,Europe,Lithuania,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Lithuania,Asylum-seekers,   82 ,  -00 ,   76 ,  -00 ,,
Europe,Europe,Lithuania,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Lithuania,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Lithuania,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Lithuania,Persons under UNHCR's statelessness mandate,"   3,466 ",  -00 ,"  3,466 ",  -00 ,,
Europe,Europe,Lithuania,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Lithuania,Total population of concern,"   4,641 ",  -00 ,"  4,663 ",  -00 ,,
Europe,Europe,Luxembourg,Total Refugee and people in refugee-like situations,"  1,332 ",  -00 ,"  1,537 ",  -00 ,,
Europe,Europe,Luxembourg,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Luxembourg,Asylum-seekers,"   2,395 ",  -00 ,"  2,529 ",  -00 ,,
Europe,Europe,Luxembourg,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Luxembourg,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Luxembourg,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Luxembourg,Persons under UNHCR's statelessness mandate,   82 ,  -00 ,   85 ,  -00 ,,
Europe,Europe,Luxembourg,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Luxembourg,Total population of concern,"  3,809 ",  -00 ,"  4,151 ",  -00 ,,
Europe,Europe,Malta,Total Refugee and people in refugee-like situations,"   7,075 ","   1,547 ","   7,684 ",  600 ,,
Europe,Europe,Malta,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Malta,Asylum-seekers,   590 ,   -00 ,   442 ,   -00 ,,
Europe,Europe,Malta,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Malta,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Malta,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Malta,Persons under UNHCR's statelessness mandate,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Malta,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Malta,Total population of concern,"   7,665 ","   1,547 ","   8,126 ",  600 ,,
Europe,Europe,Monaco,Total Refugee and people in refugee-like situations,   32 ,  -00 ,   32 ,  -00 ,,
Europe,Europe,Monaco,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Monaco,Asylum-seekers,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Monaco,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Monaco,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Monaco,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Monaco,Persons under UNHCR's statelessness mandate,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Monaco,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Monaco,Total population of concern,   32 ,  -00 ,   32 ,  -00 ,,
Europe,Europe,Montenegro,Total Refugee and people in refugee-like situations,"  1,771 ","   1,671 ","   1,637 ","   1,539 ",,
Europe,Europe,Montenegro,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Montenegro,Asylum-seekers,  20 ,  20 ,  12 ,  12 ,,
Europe,Europe,Montenegro,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Montenegro,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Montenegro,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Montenegro,Persons under UNHCR's statelessness mandate,"  3,262 ",  534 ,"  3,250 ",  584 ,,
Europe,Europe,Montenegro,Others of concern to UNHCR,"   10,822 ","  10,822 ","  11,150 ","  11,150 ",,
Europe,Europe,Montenegro,Total population of concern,"  15,875 ","  13,047 ","  16,049 ","  13,285 ",,
Europe,Europe,Netherlands,Total Refugee and people in refugee-like situations,"   88,536 ",   -00 ,"  99,155 ",   -00 ,,
Europe,Europe,Netherlands,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Netherlands,Asylum-seekers,"  28,051 ",   -00 ,"  15,148 ",   -00 ,,
Europe,Europe,Netherlands,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Netherlands,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Netherlands,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Netherlands,Persons under UNHCR's statelessness mandate,"   1,951 ",  -00 ,"  1,951 ",  -00 ,,
Europe,Europe,Netherlands,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Netherlands,Total population of concern,"   118,538 ",  -00 ,"  116,254 ",  -00 ,,
Europe,Europe,Norway,Total Refugee and people in refugee-like situations,"  50,389 ",   -00 ,"  53,909 ",   -00 ,,
Europe,Europe,Norway,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Norway,Asylum-seekers,"   25,316 ",   -00 ,"  16,765 ",   -00 ,,
Europe,Europe,Norway,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Norway,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Norway,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Europe,Europe,Norway,Persons under UNHCR's statelessness mandate,"  2,561 ",  -00 ,"  2,561 ",  -00 ,,
Europe,Europe,Norway,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
