#{"source_key": "HNO", "source_url": "https://www.humanitarianresponse.info/", "source_date": "2017", "extract_date": "2017-06-01", "update_frequency": "Every year", "additional_metadata": {"Note on data": "Extracted from a variety of 2017 UNOCHA publications including Humanitarian Needs Overviews, Response Plans, Flash Appeals, Needs and Priorites, and Humanitarian Requirements Documents."}}
Metric,Source Type,File Type,Notes,Afghanistan 2017,Burkina Faso 2017,Burundi 2017,Cameroon 2017,Central African Republic 2017,Chad 2017,DPR Korea Needs and Priorities 2017,Democratic Republic of the Congo 2017,DRC Kasai Flash Appeal,Djibouti 2017,Ethiopia 2017,Haiti 2017,Iraq 2017,Kenya Flash Appeal 2017,Libya 2017,Madagascar Flash Appeal 2017,Madagascar Grand Sud 2016-2017,Mali 2017,Mauritania 2017,Mozambique Cyclone Dineo Flash Appeal 2017,Myanmar 2017,Niger 2017,Nigeria 2017,Nigeria northeast 2017,Peru Flash Appeal 2017,Republic of South Sudan 2017,Senegal 2017,Somalia 2017,Sudan 2017,Syria 2017,Syria regional refugee and resilience plan (3RP) 2017,Ukraine Humanitarian Needs Overview 2017,Yemen 2017,occupied Palestinian territory 2017
People targeted - Shelter and NFIs ,HRP,pdf,further data disaggregation available (HRP),,,,"382,000",,,,,,,,"525,000","2,300,000",,"277,000",,,"100,000",,,,"247,000","1,000,000",,,,,,,,,"300,000",,"160,000"
People targeted - Essential household items and shelter,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - Shelter/Essential household items/CCCM,HRP,pdf,further data disaggregation available (HRP),,,,,,"343,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - Shelter  ,HRP,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"570,000",,"740,000",,,,
People targeted - NFIs,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,900,000",,,,
People targeted - Essential household items and shelter,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - CCCM,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,"213,000","900,000",,,,,,,,,,,,,"933,000",,,,"450,000",,,,
People targeted - Displacement management systems/CCCM,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,"800,000",,,,,,,,,,,
People targeted - WASH,HRP,pdf,further data disaggregation available (HRP),"1,100,000",,"1,100,000","531,000","1,600,000","1,300,000",,,,"96,878",,"1,000,000","3,500,000",,"184,000",,"850,000","859,000",,,"356,014","791,000","2,000,000",,,"3,200,000",,"2,300,000",,"14,800,000",,"2,500,000","8,300,000","500,000"
People targeted - Education,HRP,pdf,further data disaggregation available (HRP),,,"225,000","308,000","300,000","367,000",,,,"8,000",,"150,000","1,450,000",,"115,000",,"300,000","204,000",,,"76,600","145,000","1,600,000",,,"634,000",,"210,000",,"4,600,000",,"100,000","1,000,000","410,000"
People targeted - Livelihoods and Community Stabilization,HRP,pdf,further data disaggregation available (HRP),,,,,"1,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - Nutrition,HRP,pdf,further data disaggregation available (HRP),"700,000",,"661,000","248,000","100,000","538,400",,,,"100,216",,"149,000",,,,,,"662,000",,,"97,000","1,100,000","2,700,000",,,"1,200,000","344,000","420,000",,"2,650,000",,,"2,600,000",
People targeted - Nutrition (HH),HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"110,000",,,,,,,,,,,,,,,,,
People targeted - Protection,HRP,pdf,further data disaggregation available (HRP),"2,600,000",,"690,000","1,000,000","1,500,000","254,100",,,,"70,250",,"427,000","3,400,000",,"689,000",,"260,000","592,000",,,"244,336","164,000","2,400,000",,,"3,400,000",,"922,000",,"9,700,000",,"2,100,000","3,500,000","1,600,000"
People targeted - Child Protection,HRP,pdf,further data disaggregation available (HRP),,,,"258,000","600,000",,,,,,,,,,,,,,,,,,"900,000",,,,,,,,,,,
People targeted - (S)GBV,HRP,pdf,further data disaggregation available (HRP),,,,"426,000","700,000",,,,,,,,,,,,,,,,,,"1,000,000",,,,,,,,,,,
People targeted - Health,HRP,pdf,further data disaggregation available (HRP),"3,800,000",,"745,000","1,200,000","900,000","901,200",,,,"244,920",,"1,800,000","6,200,000",,"941,000",,"850,000","1,300,000",,,"474,228","561,000","5,900,000",,,"3,000,000",,"2,000,000",,"12,800,000",,,"10,400,000",
People targeted - Health and nutrition,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,100,000",,"500,000"
People targeted - Cholera,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,"2,200,000",,,,,,,,,,,,,,,,,,,,,,
People targeted - Food security,HRP,pdf,further data disaggregation available (HRP),,,"806,000","848,000","890,000","1,700,000",,,,"149,790",,"1,300,000","2,800,000",,"211,000",,,"700,000",,,"356,047","650,000","5,100,000",,,,"250,000","3,900,000",,,,,,"1,650,000"
People targeted - Food security and livelihoods,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"850,000",,,,,,,,,"4,800,000",,,,,,"700,000",,
People targeted - Food security and agriculture,HRP,pdf,further data disaggregation available (HRP),"2,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,200,000",
People targeted - Food security and agriculture (additional projected caselaod of 2 million in 2017 for emergency response),HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,000,000",,,,
People targeted - Refugee and returnee response plan,HRP,pdf,further data disaggregation available (HRP),"1,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - Refugee response plan,HRP,pdf,further data disaggregation available (HRP),,,"80,000",,"12,800","403,000",,,,"32,500",,,,,,,,,,,,,,,,"303,000",,"32,232",,,,,,
People targeted - Response plan for Central-African refugees,HRP,pdf,further data disaggregation available (HRP),,,,"259,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - Response plan for Nigerian refugees,HRP,pdf,further data disaggregation available (HRP),,,,"86,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"People targeted - Refugees, returnees and hosting families",HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - Refugee and migrant response plan,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,"144,000",,,,,,,,,,,,,,,,,,,
People targeted - Refugee and migrant multi-sector response plan,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"290,000",
People targeted - Non-sectoral response for refugees,HRP,pdf,further data disaggregation available (HRP),,,"51,000",,"12,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - Multisectoral response for refugees,HRP,pdf,further data disaggregation available (HRP),,,,,,"403,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - Early recovery,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,"600,000",,,,,,,,,,,,,,,,
People targeted - Early recovery and livelihoods,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,"370,000",,,,,,,,,,,,,,,,,,"5,500,000",,,,
People targeted - Early recovery and resilience,HRP,pdf,further data disaggregation available (HRP),,,,"536,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - Emergency livelihoods,HRP,pdf,,,,,,,,,,,,,,"159,000",,,,,,,,,,,,,,,,,,,,,
People targeted - Emergency employment and community rehabilitation,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,400,000",
People targeted - Response and recovery planning (durable solutions),HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,"4,500,000",,,,,,,,,,,
People targeted - Rapid Response Mechanism,HRP,pdf,,,,,,,,,,,,,,"1,300,000",,,,,,,,,,,,,,,,,,,,,
"People targeted - Coordination, information management, and early warning system",HRP,pdf,,,,,,,,,,,,,,,,,,"850,000",,,,,,,,,,,,,,,,,
People targeted - M-S cash,HRP,pdf,further data disaggregation available (HRP),"1,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - Multi-purpose cash assistance,HRP,pdf,,,,,,,,,,,,,,"400,000",,,,,,,,,,,,,,,,,,,,,
People targeted - Emergency preparedness,HRP,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,"254,000",,,,,,,
People targeted - Logistics,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - Abyei response plan,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,"110,000",,,,,,,,
Organisations targeted - Logistics,HRP,pdf,,,,,,134,,,,,,,,146,,,,,,,,,,102,,,320,,,,,,,,
Humanitarian partners targeted - Logistics,HRP,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,
Organisations targeted - Emergency telecommunications,HRP,pdf,,,,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,
People targeted - Response communities - Emergency telecommunications,HRP,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,000,000",,,,
Organisations targeted - Coordination and common services,HRP,pdf,,,,,,,,,,,,,,146,,,,,,,,,,,,,197,,,,,,,,
Budget (US$) - total,HRP,pdf,further data disaggregation available (other),,,"73,700,000","310,000,000","399,500,000","589,000,000",,,,,,,,,,,,,,,,"271,000,000",,,,,,,,,,,,
Budget (US$) - Shelter and NFIs,HRP,pdf,,,,,"6,000,000",,,,,,,,,,,,,,,,,,"13,000,000",,,,,,,,,,,,
Budget (US$) - Shelter/NFIs/CCCM,HRP,pdf,further data disaggregation available (HRP),,,"8,000,000",,"39,700,000","10,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget (US$) - WASH,HRP,pdf,further data disaggregation available (HRP),,,"8,000,000","25,000,000","29,300,000","14,900,000",,,,,,,,,,,,"28,500,000",,,,"18,000,000",,,,,,,,,,,,
Budget (US$) - Education,HRP,pdf,further data disaggregation available (HRP),,,"3,500,000","16,000,000","22,000,000","18,000,000",,,,,,,,,,,,"35,100,000",,,,"9,000,000",,,,,,,,,,,,
Budget (US$) - Livelihoods and Community Stabilization,HRP,pdf,further data disaggregation available (HRP),,,,,"49,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget (US$) - Nutrition,HRP,pdf,further data disaggregation available (HRP),,,"12,000,000","19,000,000","20,000,000","58,000,000",,,,,,,,,,,,"58,400,000",,,,"67,000,000",,,,,"7,670,000",,,,,,,
Budget (US$) - Protection,HRP,pdf,further data disaggregation available (HRP),,,"12,000,000","21,000,000","39,000,000","18,400,000",,,,,,,,,,,,"30,800,000",,,,"27,000,000",,,,,,,,,,,,
Budget (US$) - Food security,HRP,pdf,further data disaggregation available (HRP),,,"19,000,000","91,000,000","128,500,000","256,300,000",,,,,,,,,,,,"93,500,000",,,,"112,000,000",,,,,"6,790,000",,,,,,,
Budget (US$) - Health,HRP,pdf,further data disaggregation available (HRP),,,"8,000,000","15,000,000","28,000,000","30,800,000",,,,,,,,,,,,"11,800,000",,,,"13,000,000",,,,,,,,,,,,
Budget (US$) - Multi-sectoral response for refugees,HRP,pdf,further data disaggregation available (HRP),,,,,,"160,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget (US$) - Logistics,HRP,pdf,further data disaggregation available (HRP),,,"1,400,000",,"22,000,000","15,300,000",,,,,,,,,,,,,,,,"8,000,000",,,,,,,,,,,,
Budget (US$) - Coordination ,HRP,pdf,further data disaggregation available (HRP),,,"1,800,000","8,000,000",,"6,300,000",,,,,,,,,,,,,,,,"3,500,000",,,,,,,,,,,,
Budget (US$) - Refugee response plan,HRP,pdf,further data disaggregation available (HRP),,,"26,600,000",,"14,000,000","261,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget (US$) - Response plan for Central-African refugees,HRP,pdf,further data disaggregation available (HRP),,,,"112,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget (US$) - Response plan for Nigerian refugees,HRP,pdf,further data disaggregation available (HRP),,,,"67,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget (US$) - Coordination and support service,HRP,pdf,further data disaggregation available (HRP),,,,,"8,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget (US$) - Coordination and common services,HRP,pdf,,,,,,,,,,,,,,,,,,,"14,800,000",,,,,,,,,,,,,,,,
Budget (US$) - Non sectoral response for refugees,HRP,pdf,further data disaggregation available (HRP),,,,,"14,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget (US$) - Early recovery,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,"7,000,000",,,,,,,,,,,,,,,,
Budget (US$) - Early recovery and resilience,HRP,pdf,further data disaggregation available (HRP),,,,"27,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget (US$) - Emergency preparedness,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,"1,340,000",,,,,,,
Requirements (US$) (total),HRP,pdf,further data disaggregation available (HRP),"550,000,000",,,,,,,"748,000,000",,"43,000,000",,"291,500,000","985,000,000",,"151,000,000",,,"293,000,000",,,"150,000,000",,"1,054,000,000",,,"1,600,000,000","15,800,000","864,000,000",,"3,400,000,000",,"214,000,000","2,100,000,000","547,000,000"
Requirements (US$) - Shelter and NFIs,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,"41,300,000","175,000,000",,"21,000,000",,,"13,100,000",,,,,"70,300,000",,,,,,,"475,000,000",,"33,800,000",,"104,000,000"
Requirements (US$) - Emergency Shelter and NFIs,HRP,pdf,further data disaggregation available (HRP),"38,100,000",,,,,,,,,,,,,,,,,,,,,,,,,"42,200,000",,,,,,,,
Requirements (US$) - Shelter/NFIs/CCCM,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,"20,300,000",,,,,,,,,,,,"106,000,000",
Requirements (US$) - Essential household items and shelter,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - Shelter,HRP,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54,000,000",,,,,,
Requirements (US$) - CCCM,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,"14,900,000","18,700,000",,,,,,,,,,,,,"22,800,000",,,,"30,600,000",,,,
Requirements (US$) - Displacement management systems/CCCM,HRP,pdf,,,,,,,,,,,,,,,,,,,,,,,,"11,600,000",,,,,,,,,,,
Requirements (US$) - Food security,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,"9,391,311",,"93,000,000","235,000,000",,"24,800,000",,,,,,"50,000,000",,"480,300,000",,,,,"396,000,000",,,,,,"300,000,000"
Requirements (US$) - Food security and livelihoods,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,"780,500,000",,,,,,"65,200,000",,
Requirements (US$) - Food security and agriculture,HRP,pdf,further data disaggregation available (HRP),"135,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,300,000,000",,,"1,070,000,000",
Requirements (US$) - Nutrition,HRP,pdf,further data disaggregation available (HRP),"66,500,000",,,,,,,,,"3,231,495",,"6,700,000",,,,,,,,,"14,100,000",,"110,300,000",,,"165,100,000",,"110,000,000",,"70,000,000",,,"182,200,000",
Requirements (US$) - Health,HRP,pdf,further data disaggregation available (HRP),"52,500,000",,,,,,,,,"2,000,000",,"25,800,000","109,600,000",,"38,000,000",,,,,,"16,500,000",,"93,900,000",,,"144,700,000",,"70,000,000",,"459,000,000",,,"321,600,000",
Requirements (US$) - Health and nutrition,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,300,000",,"13,000,000"
Requirements (US$) - Cholera,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,"34,700,000",,,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - WASH,HRP,pdf,further data disaggregation available (HRP),"36,500,000",,,,,,,,,"3,029,992",,"14,700,000","139,000,000",,"7,250,000",,,,,,"17,000,000",,"49,700,000",,,"156,600,000",,"59,000,000",,"221,000,000",,"26,200,000","125,900,000","37,000,000"
Requirements (US$) - Education,HRP,pdf ,further data disaggregation available (HRP),,,,,,,,,,"722,100",,"16,800,000","69,900,000",,"7,400,000",,,,,,"7,100,000",,"56,300,000",,,"63,100,000",,"27,000,000",,"265,000,000",,"7,600,000","36,500,000","20,000,000"
Requirements (US$) - Protection,HRP,pdf,further data disaggregation available (HRP),"99,000,000",,,,,,,,,"6,102,800",,"13,600,000","106,700,000",,"47,600,000",,,,,,"20,200,000",,,,,"119,000,000",,"77,000,000",,"294,000,000",,"42,600,000","72,200,000","54,000,000"
Requirements (US$) - Protection (including Child Protection and GBV),HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,"87,700,000",,,,,,,,,,,
Requirements (US$) - Child Protection,HRP,pdf,,,,,,,,,,,,,,,,,,,,,,,,"32,000,000",,,,,,,,,,,
Requirements (US$) - GBV,HRP,pdf,,,,,,,,,,,,,,,,,,,,,,,,"11,200,000",,,,,,,,,,,
Requirements (US$) - M-S cash,HRP,pdf,further data disaggregation available (HRP),"95,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - Multi-purpose cash assistance,HRP,pdf,,,,,,,,,,,,,,"61,400,000",,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - Refugee response plan,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,"23,281,860",,,,,,,,,,,,,,,,"220,000,000",,"31,000,000",,,,,,
Requirements (US$) - Refugee and returnee response plan,HRP,pdf,further data disaggregation available (HRP),"240,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - Refugee and migrant response plan,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,"56,100,000",,,,,,,,,,,,,,,,,,,
Requirements (US$) - Refugee and migrant multi-sector response plan,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,900,000",
Requirements (US$) - Abyei response plan,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,"14,400,000",,,,,,,,
Requirements (US$) - Logistics,HRP,pdf,,,,,,,,,,,,,"2,000,000","11,800,000",,,,,,,,,,"12,200,000",,,"94,300,000",,"14,600,000",,"16,400,000",,"1,500,000","19,500,000",
Requirements (US$) - Early recovery and livelihoods,HRP,pdf,,,,,,,,,,,,,"25,700,000",,,,,,,,,,,,,,,,,,"173,000,000",,,,
Requirements (US$) - Emergency livelihoods,HRP,pdf,,,,,,,,,,,,,,"20,000,000",,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - Emergency employment and community rehabilitation,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,900,000",
Requirements (US$) - Response and recovery planning (durable solutions),HRP,pdf,,,,,,,,,,,,,,,,,,,,,,,,"44,600,000",,,,,,,,,,,
Requirements (US$) - Rapid Response Mechanism,HRP,pdf,,,,,,,,,,,,,,"18,000,000",,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - Enabling programmes,HRP,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,000,000",,,,,,
Requirements (US$) - Coordination ,HRP,pdf,,,,,,,,,,,,,,,,"5,000,000",,,,,,,,"31,200,000",,,,,,,,,,,
Requirements (US$) - Humanitarian coordination,HRP,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,800,000",,
Requirements (US$) - Coordination and safety,HRP,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,900,000",
Requirements (US$) - Coordination and support services,HRP,pdf,,,,,,,,,,,,,"2,200,000",,,,,,,,,,,,,,,,,,,,,,"19,000,000"
Requirements (US$) - Coordination and common services,HRP,pdf,,,,,,,,,,,,,,"16,000,000",,,,,,,,"5,100,000",,,,,"21,300,000",,,,"58,000,000",,,,
Requirements (US$) - Emergency telecommunications,HRP,pdf,,,,,,,,,,,,,"400,000","2,700,000",,,,,,,,,,"2,800,000",,,,,,,"870,000",,,"3,200,000",
Needs not covered (US$) - Total,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"115,300,000",,,,,,,,,,,,,,,,,
Needs not covered (US$) - WASH,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"11,310,000",,,,,,,,,,,,,,,,,
Needs not covered (US$) - Education,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"2,250,000",,,,,,,,,,,,,,,,,
Needs not covered (US$) - Nutrition,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"14,690,000",,,,,,,,,,,,,,,,,
Needs not covered (US$) - Protection,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"2,300,000",,,,,,,,,,,,,,,,,
Needs not covered (US$) - Food security and livelihoods,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"77,130,000",,,,,,,,,,,,,,,,,
Needs not covered (US$) - Health,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"7,280,000",,,,,,,,,,,,,,,,,
"Needs not covered (US$) - Coordination, information management, and early warning system",HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"320,000",,,,,,,,,,,,,,,,,
Total needs (US$) - WASH,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"14,550,000",,,,,,,,,,,,,,,,,
Total needs (US$) - Education,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"9,190,000",,,,,,,,,,,,,,,,,
Total needs (US$) - Nutrition,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"16,730,000",,,,,,,,,,,,,,,,,
Total needs (US$) - Protection,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"2,390,000",,,,,,,,,,,,,,,,,
Total needs (US$) - Food security and livelihoods,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"103,870,000",,,,,,,,,,,,,,,,,
Total needs (US$) - Health,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"7,760,000",,,,,,,,,,,,,,,,,
"Total needs (US$) - Coordination, information management, and early warning system",HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"430,000",,,,,,,,,,,,,,,,,
Available (US$) - WASH,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"3,240,000",,,,,,,,,,,,,,,,,
Available (US$) - Education,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"6,940,000",,,,,,,,,,,,,,,,,
Available (US$) - Nutrition ,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"2,040,000",,,,,,,,,,,,,,,,,
Available (US$) - Protection,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"900,000",,,,,,,,,,,,,,,,,
Available (US$) - Food security and livelihoods,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"26,740,000",,,,,,,,,,,,,,,,,
Available (US$) - Health,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"480,000",,,,,,,,,,,,,,,,,
"Available (US$) - Coordination, information management, and early warning system",HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"110,000",,,,,,,,,,,,,,,,,
Total population ,N&P,pdf,,,,,,,,"24,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need (total),N&P,pdf,further data disaggregation available (N&P),,,,,,,"18,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Food security (including agriculture),N&P,pdf,further data disaggregation available (N&P),,,,,,,"18,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Health,N&P,pdf,further data disaggregation available (N&P),,,,,,,"15,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Nutrition,N&P,pdf,further data disaggregation available (N&P),,,,,,,"4,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - WASH,N&P,pdf,further data disaggregation available (N&P),,,,,,,"3,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted (total),N&P,pdf,further data disaggregation available (N&P),,,,,,,"13,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - WASH,N&P,pdf,further data disaggregation available (N&P),,,,,,,"600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - Nutrition,N&P,pdf,further data disaggregation available (N&P),,,,,,,"2,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - Health,N&P,pdf,further data disaggregation available (N&P),,,,,,,"12,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - Food security (including agriculture),N&P,pdf,further data disaggregation available (N&P),,,,,,,"4,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirements (US$) (total),N&P,pdf,further data disaggregation available (N&P),,,,,,,"114,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - Food security (including agriculture),N&P,pdf,further data disaggregation available (N&P),,,,,,,"30,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - Nutrition,N&P,pdf,further data disaggregation available (N&P),,,,,,,"39,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - Health,N&P,pdf,further data disaggregation available (N&P),,,,,,,"37,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - WASH,N&P,pdf,further data disaggregation available (N&P),,,,,,,"8,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
Total population ,OTHER,pdf,,,,,,,,,,,,"94,300,000",,,,,,,,,,,,,,,,,,,,,,,
People in need (total),OTHER,pdf,further data disaggregation available (other),,"860,625",,,,,,,,,,,,,,,,,"539,000",,,,,"8,500,000",,,,,,,,,,
People at risk (total),OTHER,pdf,,,"1,059,391",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Food security,OTHER,pdf,further data disaggregation available (other),,"212,000",,,,,,,,,,,,,,,,,"493,000",,,,,,,,,,,,,,,
People in need - Food assistance (urgent need),OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"5,600,000",,,,,,,,,,,,,"5,200,000",,,,,,,,,,
People in need - Health,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"4,370,000",,,,,,,,"203,000",,,,,,,,,,,,,,,
People in need - Nutrition,OTHER,pdf,further data disaggregation available (other),,"860,000",,,,,,,,,,,,,,,,,"165,000",,,,,,,,,,,,,,,
People in need - Population movements,OTHER,pdf,,,"35,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Emergency preparedness,OTHER,pdf,,,"431,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Protection,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,,,,,,,,,"371,000",,,,,,,,,,,,,,,
People in need - Protection (urgent need),OTHER,pdf,,,,,,,,,,,,,,,,,,,,,,,,,"6,100,000",,,,,,,,,,
People in need - WASH,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"9,100,000",,,,,,,,"615,000",,,,,,,,,,,,,,,
